,net,trees,admix,src_node,dest_node,pos_as_prop,pos_as_prop_rand,gamma,plot_admix
0,snaq-ne-1e3_imb-10-snaq-p548876.snaq.net-1.networks,"(r1:1,((r3:1,(r4:1,((r6:1,r7:1):0.140362104404,r5:5.76439291906):0.00896849555629):0.00621880790627):0.173188211595,r2:2):0.143158741557,r0:1);","[(['r2'], ['r5'], 0.5, {}, '0.0143')]",['r2'],['r5'],0.5,0.15631902152719568,0.0143,"(['r2'], ['r5'], 0.15631902152719568, {'stroke': array((0.31927843, 0.37373333, 0.66557647, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0286, 'stroke-width': 2})"
1,snaq-ne-1e3_imb-49-snaq-p548876.snaq.net-1.networks,"((r3:1,(r5:1,((r6:1,r7:1):0.147112667339,r4:4.62284263632):0.00899335172624):0.013273127793):0.162853932977,r2:1,(r1:1,r0:1):0.160463223658);","[(['r1', 'r0'], ['r4'], 0.5, {}, '0.015')]","['r1', 'r0']",['r4'],0.5,0.6355785838366451,0.015,"(['r1', 'r0'], ['r4'], 0.6355785838366451, {'stroke': array((0.31686275, 0.37686275, 0.66705882, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.03, 'stroke-width': 2})"
2,snaq-ne-1e3_imb-9-snaq-p548876.snaq.net-1.networks,"((r5:1,(r4:1,(r6:1,r7:1):0.132954364535):0.012599390657):0.0237088970261,(r2:1,(r0:1,r1:1.0005100742):0.148154737063):0.167240136121,r3:1);","[(['r4', 'r6', 'r7'], ['r1'], 0.5, {}, '0.0559')]","['r4', 'r6', 'r7']",['r1'],0.5,0.83035527600105,0.0559,"(['r4', 'r6', 'r7'], ['r1'], 0.83035527600105, {'stroke': array((0.22014118, 0.56017255, 0.73007059, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1118, 'stroke-width': 2})"
3,snaq-ne-1e3_imb-42-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,((r5:1,r4:3.23021573935):0.0133616271755,(r3:1,(r6:1,r7:2):0.163529954629):0.00405843373421):0.162398927407):0.134279603548,r0:1);","[(['r7'], ['r4'], 0.5, {}, '0.017')]",['r7'],['r4'],0.5,0.1732967610593933,0.017,"(['r7'], ['r4'], 0.1732967610593933, {'stroke': array((0.30996078, 0.38580392, 0.67129412, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.034, 'stroke-width': 2})"
4,snaq-ne-1e3_imb-37-snaq-p548876.snaq.net-1.networks,"((r7:1,r6:5.10291550478):0.142225710737,(r4:1,(r3:1,(r2:1,(r0:1,r1:1):0.148569332296):0.168904094588):0.0132156330469):0.00267700708004,r5:1);","[(['r0', 'r1'], ['r6'], 0.5, {}, '0.0183')]","['r0', 'r1']",['r6'],0.5,0.13087202610000048,0.0183,"(['r0', 'r1'], ['r6'], 0.13087202610000048, {'stroke': array((0.30547451, 0.39161569, 0.67404706, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0366, 'stroke-width': 2})"
5,snaq-ne-1e3_imb-19-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,(r5:1,(r4:1,(r6:1,r7:1.34737635675):0.148211385043):0.00486705199595):0.0148599464207):0.176044455123):0.156329482096,r0:1,r1:2);","[(['r1'], ['r7'], 0.5, {}, '0.025')]",['r1'],['r7'],0.5,0.6145951892097068,0.025,"(['r1'], ['r7'], 0.6145951892097068, {'stroke': array((0.28235294, 0.42156863, 0.68823529, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.05, 'stroke-width': 2})"
6,snaq-ne-1e3_imb-25-snaq-p548876.snaq.net-1.networks,"((r0:1,r1:1):0.173019578187,(r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.164708116382):0.00952920157025):0.0386567399162):0.185084954966,r2:1);","[(['r4', 'r5', 'r6', 'r7'], ['r1'], 0.5, {}, '0.1')]","['r4', 'r5', 'r6', 'r7']",['r1'],0.5,0.35429265737219384,0.1,"(['r4', 'r5', 'r6', 'r7'], ['r1'], 0.35429265737219384, {'stroke': array((0.4, 0.76078431, 0.64705882, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.2, 'stroke-width': 2})"
7,snaq-ne-1e3_imb-26-snaq-p548876.snaq.net-1.networks,"((r6:1,r7:1):0.149671856497,(r4:1,((r0:1,(r1:1,r2:2):0.0127142844661):0.320032367928,r3:1.03383451656):0.005711297005):0.00526378456186,r5:1);","[(['r2'], ['r3'], 0.5, {}, '0.472')]",['r2'],['r3'],0.5,0.9473321958377288,0.472,"(['r2'], ['r3'], 0.9473321958377288, {'stroke': array((0.74039216, 0.13788235, 0.28737255, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.944, 'stroke-width': 2})"
8,snaq-ne-1e3_imb-82-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1.09049629243):0.141568977909):0.00537755243935):0.0217050529923):0.164767159526):0.157199430304,r0:1,r1:2);","[(['r1'], ['r7'], 0.5, {}, '0.0487')]",['r1'],['r7'],0.5,0.5280903007124986,0.0487,"(['r1'], ['r7'], 0.5280903007124986, {'stroke': array((0.20056471, 0.52752157, 0.73842353, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0974, 'stroke-width': 2})"
9,snaq-ne-1e3_imb-77-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.146108403307):0.00756448698578):0.0192548103501):0.170647682579):0.151597396667,r0:1,r1:2.88518489857);","[(['r4', 'r5', 'r6', 'r7'], ['r1'], 0.5, {}, '0.0169')]","['r4', 'r5', 'r6', 'r7']",['r1'],0.5,0.1022115503522869,0.0169,"(['r4', 'r5', 'r6', 'r7'], ['r1'], 0.1022115503522869, {'stroke': array((0.31030588, 0.38535686, 0.67108235, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0338, 'stroke-width': 2})"
